Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-10-31,6389.4450371,636469300204.0732,22.65,1377.57
2024-11-01,9331.52004975,910333834885.8293,22.95,1376.95
2024-11-04,6665.1704634,635235960317.6411,22.83,1375.17
2024-11-05,8898.60204699,852324310653.7512,22.52,1380.26
2024-11-06,30022.55076711,3039076781631.146,20.72,1399.98
2024-11-07,10248.57827425,1061365969759.6146,19.77,1384.66
2024-11-08,9111.7666779,959247347803.7122,19.03,1396.69
2024-11-12,31368.109414990002,3875145291527.0264,21.62,1408.28
2024-11-13,19214.88655358,2424454188819.1567,24.86,1404.24
2024-11-14,19089.068796599997,2442154271959.1963,23.41,1402.77
2024-11-15,13064.489840490001,1645659184190.415,21.74,1397.42
2024-11-18,6782.961119310001,864467993470.0984,21.09,1394.28
2024-11-19,6627.57142692,853589647963.1584,20.01,1392.83
2024-11-20,7894.71502037,1034363188954.176,19.93,1399.51
2024-11-21,13459.67559617,1833292743417.3662,19.46,1401.0
2024-11-22,11340.28008004,1549506143439.0334,18.91,1405.49
2024-11-25,6724.20152769,897989430663.0599,18.59,1401.03
2024-11-26,9644.98054681,1252725958896.7756,18.5,1396.69
2024-11-27,5713.60863451,747235458457.0669,18.2,1391.14
2024-11-29,4403.87187631,592151795339.721,19.34,1396.99
2024-12-02,6826.131399260001,915370570611.5232,19.94,1406.13
2024-12-03,21300.86563468,2717275883442.5073,19.07,1427.83
2024-12-04,9417.213629630001,1275291738668.9873,21.34,1412.16
2024-12-05,17081.31102154,2419587629773.7104,20.73,1415.88
2024-12-06,8926.0920909,1234008402979.271,22.0,1422.4
2024-12-09,7357.26736297,1021829222208.9094,23.45,1430.05
2024-12-10,7803.67477236,1078695192111.0969,21.62,1432.6
2024-12-11,7365.7578429899995,1031757146246.8181,20.6,1428.5
2024-12-12,5571.61838219,798459553012.1378,19.91,1429.47
2024-12-13,3395.40730617,486793763840.68854,19.49,1434.82
2024-12-16,8752.59632314,1327286162799.2456,18.88,1437.86
2024-12-17,7922.31823448,1226518817743.0498,18.36,1436.16
2024-12-18,10525.09619783,1604134777408.6147,17.96,1438.13
2024-12-19,10847.69943325,1625185246459.2744,20.3,1446.06
2024-12-20,14863.266091700001,2148015039420.717,21.45,1444.52
2024-12-23,5880.45707125,842686334021.6005,20.07,1451.76
2024-12-24,5643.14306214,813072284139.8748,20.02,1457.36
2024-12-26,4419.6737307700005,643432111068.1597,20.49,1467.66
2024-12-27,4021.75284539,578901464063.9294,20.88,1470.4
2024-12-30,4786.58876217,662515711165.0818,21.14,1472.32
2024-12-31,4888.22788858,683224480426.0048,20.92,1477.86
2025-01-02,4021.1183616400003,574089591783.7344,20.7,1472.52
2025-01-03,3050.08436053,438866717201.64813,20.31,1470.0
2025-01-06,4426.57521524,651591793711.9384,20.71,1459.94
2025-01-07,5374.05843771,791164369624.7163,20.24,1452.42
2025-01-08,5632.1304122599995,805750182862.9786,20.2,1459.85
2025-01-09,4674.26612307,656671336017.8893,19.9,1459.23
2025-01-10,4238.0707165799995,600753060158.4514,19.92,1473.36
2025-01-13,5296.45711947,741628926849.6079,20.49,1466.87
2025-01-14,3500.64124332,501194492045.7468,19.25,1459.5
