Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2024-07-24,484767.0,596458.0,571006058.5938667,19730137.5,745063.0967000404,33.66790308919036
2024-07-25,529053.0,719711.0,664814196.7914306,19730659.375,751925.9667200702,33.66790308919036
2024-07-26,529294.0,459067.0,652578352.6787051,19731181.25,601086.6006133643,34.703838568857755
2024-07-29,543529.0,826129.0,725993417.3550591,19732746.875,896257.3144037754,40.919451446862126
2024-07-30,500916.0,683096.0,611792205.6362859,19733271.875,972379.7669231046,29.524161170520774
2024-07-31,542141.0,562819.0,613215974.0238556,19733790.625,997889.2028141296,30.042128910354474
2024-08-01,550192.0,544430.0,630987879.9602102,19734315.625,788137.9786033568,32.64342538598085
2024-08-02,531291.0,410113.0,563382035.6787592,19735096.875,1120076.901190885,33.66353242929275
2024-08-05,572484.0,548857.0,703100780.5270916,19735878.125,1370350.9497311546,102.01070433119015
2024-08-06,502085.0,485173.0,630987879.9602102,19736396.875,978189.0008762768,54.06567329553078
2024-08-07,483579.0,380097.0,549860866.8224689,19736921.875,937516.4679963784,44.88470990572367
2024-08-08,541524.0,487399.0,581410260.8204794,19737187.5,859135.9292223909,39.78417468916416
2024-08-09,505594.0,396419.0,585917317.1059096,19737453.125,892589.6714940596,36.72385355922845
2024-08-12,459444.0,450024.0,617466711.1039201,19739012.5,833850.8439280546,33.66353242929275
2024-08-13,499256.0,579618.0,671551386.529081,19739534.375,896759.4993924444,32.64342538598085
2024-08-14,514603.0,504701.0,594742777.8026003,19739793.75,923991.5116174665,32.64342538598085
2024-08-15,517110.0,660924.0,690944705.8016886,19740053.125,714878.2601329201,33.66353242929275
2024-08-16,541657.0,575811.0,613213426.3989986,19740575.0,701799.7184806219,30.603211299357046
2024-08-19,479794.0,553394.0,561392573.463872,19742134.375,849720.353683547,29.583104256045143
2024-08-20,522795.0,717337.0,647760661.689083,19742653.125,830009.6634203588,31.623318342668945
2024-08-21,528523.0,687685.0,634805448.4553014,19743171.875,781119.8391507821,29.583104256045143
2024-08-22,529070.0,795102.0,690944705.8016886,19743690.625,765833.869082293,29.583104256045143
2024-08-23,531334.0,799839.0,708218323.4467307,19744209.375,896157.7622464913,32.64342538598085
2024-08-26,467689.0,600722.0,578666191.1089141,19745253.125,772019.2490151818,29.583104256045143
2024-08-27,500316.0,673811.0,613213426.3989986,19745775.0,1105505.3645173218,29.583104256045143
2024-08-28,507535.0,733530.0,703794017.3679069,19746300.0,998514.3397864904,30.603211299357046
2024-08-29,537264.0,524362.0,587091196.5963086,19746821.875,776508.8093392404,28.562997212733244
2024-08-30,572225.0,542101.0,631567802.399059,19747340.625,722284.1211368316,27.54289016942134
2024-09-03,532190.0,582751.0,662701426.4609846,19748934.375,981662.620964347,28.562997212733244
2024-09-04,517981.0,722736.0,671596747.6215348,19749468.75,939135.9779528662,29.583104256045143
2024-09-05,539154.0,721251.0,689387389.9426349,19750006.25,843929.2857137045,28.562997212733244
2024-09-06,541499.0,667267.0,644910784.1398844,19750528.125,909143.94937774,33.66353242929275
2024-09-09,484357.0,572398.0,644910784.1398844,19752096.875,900739.6685396094,30.603211299357046
2024-09-10,496236.0,568630.0,609329499.4976839,19752357.8125,1390978.7504865625,26.522783126109438
2024-09-11,485718.0,411402.0,495458846.64224994,19752618.75,1247406.4959816544,28.562997212733244
2024-09-12,543579.0,563521.0,700222814.5578787,19753137.5,1056147.749002315,26.522783126109438
2024-09-13,541521.0,419047.0,566627672.3067043,19753659.375,1159566.175678689,29.583104256045143
2024-09-16,508716.0,504540.0,575841130.3929921,19754700.0,936148.3291176588,26.522783126109438
2024-09-17,512792.0,539113.0,691009356.4715909,19755225.0,847849.2549602628,29.583104256045143
2024-09-18,503606.0,541476.0,635728607.9538636,19755753.125,824060.477294145,30.603211299357046
2024-09-19,534707.0,455707.0,562020943.2635604,19756275.0,878617.918176683,33.66353242929275
2024-09-20,555435.0,526390.0,667975711.255871,19757053.125,980010.4798542134,31.623318342668945
2024-09-23,518528.0,580102.0,672582440.299015,19757831.25,752214.3509765241,28.562997212733244
2024-09-24,517079.0,532220.0,667975711.255871,19758353.125,835934.2250878342,27.54289016942134
2024-09-25,513256.0,503460.0,657005311.2676694,19758881.25,816864.2504929238,26.522783126109438
2024-09-26,515965.0,474766.0,571298868.1801282,19759143.75,841504.9019745147,29.583104256045143
2024-09-27,549045.0,451723.0,602061114.928289,19759406.25,807629.0527876107,30.603211299357046
2024-09-30,513555.0,594224.0,602061114.928289,19760987.5,986218.9624079608,27.54289016942134
2024-10-01,626337.0,632894.0,689953248.4944626,19761509.375,901439.0871405172,29.583104256045143
2024-10-02,504061.0,590981.0,681164035.1378452,19762031.25,793759.0977704676,28.562997212733244
2024-10-03,522348.0,582777.0,694347855.1727712,19762556.25,885924.1692823414,26.522783126109438
2024-10-04,553982.0,561425.0,742688528.6341666,19763084.375,803081.1071951699,26.522783126109438
2024-10-07,495630.0,717700.0,681164035.1378452,19764128.125,999221.2514549243,26.522783126109438
2024-10-08,556194.0,719458.0,733899315.2775493,19764653.125,1068668.007048818,27.54289016942134
2024-10-09,479175.0,536887.0,574966972.3426994,19765171.875,812270.1903557988,31.623318342668945
2024-10-10,495077.0,746211.0,709250575.4670075,19765690.625,642151.5196266883,26.522783126109438
2024-10-11,474119.0,633252.0,640613423.0024583,19766209.375,639706.0537096191,28.562997212733244
2024-10-15,510964.0,646891.0,713826385.6313109,19767765.625,836341.90135389,26.522783126109438
2024-10-16,465015.0,708342.0,645189233.1667618,19768284.375,701874.9673499214,28.562997212733244
2024-10-17,529901.0,653027.0,718402195.7956142,19768803.125,592975.5383560109,25.50267608279754
2024-10-18,519056.0,474279.0,622310182.3452455,19769328.125,657453.9189112573,28.562997212733244
2024-10-21,482337.0,835011.0,782463538.0958601,19770893.75,660253.1279021731,27.54289016942134
2024-10-22,479204.0,700174.0,638125714.2515116,19771412.5,672533.2845571071,27.54289016942134
2024-10-23,496062.0,665187.0,718143298.2753785,19771931.25,531297.6086798153,25.50267608279754
2024-10-24,453818.0,681834.0,699119634.7449049,19772450.0,582509.7414604152,26.522783126109438
2024-10-25,585659.0,524014.0,727655130.0406153,19772968.75,580385.0656825635,25.50267608279754
2024-10-28,535356.0,702824.0,798993868.2798914,19774018.75,642718.4959970043,28.562997212733244
2024-10-29,580911.0,614981.0,746678793.571089,19774537.5,969730.0143010134,48.96513807897127
2024-10-30,553379.0,682099.0,803749784.1625097,19775059.375,914431.5387501168,39.78417468916416
2024-10-31,562550.0,562237.0,751434709.4537071,19775578.125,841843.8252213715,34.68363947260465
2024-11-01,556938.0,547888.0,727655130.0406153,19776103.125,778325.6280858238,32.13702296882801
2024-11-04,518020.0,456826.0,720519107.2542773,19777668.75,650259.0941658515,27.754701654896923
2024-11-05,548496.0,465286.0,702351988.6923242,19778190.625,733010.1056977672,30.676249197517652
2024-11-06,622567.0,501641.0,773092476.7620546,19778709.375,1268937.2231146365,115.40112793351878
2024-11-07,583392.0,553047.0,788251152.776997,19778970.3125,902154.558561996,71.57791479420786
2024-11-08,591256.0,497146.0,717510664.7072663,19779231.25,953404.9382482736,54.04862953848348
2024-11-12,702614.0,503677.0,737722232.7271894,19781321.875,1383872.6307425715,130.00886564662244
2024-11-13,636591.0,570979.0,697299096.6873435,19781843.75,1222908.3063392444,124.16577056138097
2024-11-14,587387.0,503566.0,641717284.6325549,19782103.125,1058121.4224924846,94.95029513517368
2024-11-15,619496.0,562223.0,757933800.7471123,19782362.5,928123.0808657724,71.57791479420786
2024-11-18,569926.0,673308.0,789177471.4803329,19783921.875,888920.8559166278,62.81327216634567
2024-11-19,547133.0,810805.0,889845955.1158988,19784443.75,943414.4744099808,64.27404593765603
2024-11-20,557265.0,664866.0,747470602.2973549,19784962.5,1010374.76069407,71.57791479420786
2024-11-21,666198.0,498512.0,732216100.2096539,19785481.25,1437644.971725258,106.63648530565659
2024-11-22,628962.0,540305.0,727131266.1804202,19786000.0,1074499.480550723,112.47958039089805
2024-11-25,593158.0,604870.0,859336950.9404964,19787040.625,1011844.1848499022,74.49946233682859
2024-11-26,568082.0,475689.0,706791930.0634853,19787562.5,966685.7978009495,71.57791479420786
2024-11-27,599701.0,462119.0,676282925.8880831,19788081.25,773633.5860690508,65.7348197089664
2024-11-29,551876.0,341781.0,615264917.5372787,19789125.0,704573.052100606,56.97017708110421
2024-12-02,578842.0,311811.0,649582756.2207783,19790168.75,924341.1490483156,58.430950852414576
2024-12-03,613585.0,439519.0,811042070.6273791,19790687.5,845685.3929371192,52.58785576717312
