Date,volume_btc,trade_value_krw,KOSPI_Volatility,USD_KRW
2024-07-01,2821.48915664,249760448622.15182,16.05,1382.5
2024-07-02,1998.72630474,175220005397.9724,15.88,1386.03
2024-07-03,3598.86779853,307628414704.6198,15.55,1386.8
2024-07-05,12210.32692793,970104594817.3132,16.72,1376.57
2024-07-08,6649.5225654900005,531574733506.9793,16.81,1383.27
2024-07-09,3527.57805411,286321257102.07825,16.28,1382.92
2024-07-10,3869.11728175,318481224079.4332,16.08,1382.81
2024-07-11,3792.89137042,311021097043.1345,16.12,1370.96
2024-07-12,2713.33432888,220234091601.2923,16.44,1373.67
2024-07-15,6309.72498592,557552572139.6729,16.47,1384.17
2024-07-16,7903.506711120001,707192440012.1914,16.34,1382.77
2024-07-17,4960.46735508,451127549511.9342,16.53,1378.51
2024-07-18,3501.50194725,315222504399.2656,16.79,1384.48
2024-07-19,5153.99889666,472136388039.0163,17.27,1388.79
2024-07-22,3718.66112181,349730647152.5349,18.39,1386.99
2024-07-23,3892.47501634,363134534451.3679,17.47,1384.59
2024-07-24,3789.68269255,350131805666.44385,17.42,1382.17
2024-07-25,5095.552857629999,461548775863.3749,18.77,1382.22
2024-07-26,4046.25323103,380779410515.2744,17.98,1383.72
2024-07-29,5506.26469247,525845261612.46313,17.51,1380.57
2024-07-30,3785.07200725,351092112023.0698,17.78,1382.81
2024-07-31,3670.11448047,337886688040.0042,17.51,1369.08
2024-08-01,6135.21552332,551778371080.1638,17.12,1369.08
2024-08-02,6183.87297045,550975758361.4846,21.77,1356.63
2024-08-05,29519.79098552,2267019053348.601,45.86,1366.4
2024-08-06,10474.42466889,838529533993.9347,43.08,1374.52
2024-08-07,6453.54883447,516791469538.6349,30.17,1374.47
2024-08-08,8579.45436023,710290071663.9553,29.02,1373.43
2024-08-09,5285.45123513,450267617553.2897,26.53,1364.19
2024-08-12,6506.95467324,541455882962.6262,24.49,1368.88
2024-08-13,3682.55847374,308265614100.8425,23.64,1361.41
2024-08-14,4522.24982867,379161279415.7163,22.1,1356.0
2024-08-15,4876.90827108,399751556152.0589,0.0,1364.22
2024-08-16,3657.47593776,298187977569.7471,19.9,1349.11
2024-08-19,3504.1911921,283614872927.7657,23.22,1331.64
2024-08-20,4082.30506242,334417179263.4045,21.03,1327.54
2024-08-21,3689.75962151,301351466458.1132,21.18,1332.76
2024-08-22,2886.57588483,237655984572.48187,21.16,1341.29
2024-08-23,5135.92505418,430636071562.8775,21.28,1323.43
2024-08-26,2859.38162779,243663163990.79004,20.96,1327.48
2024-08-27,4625.93211605,382435310138.6202,19.76,1325.77
2024-08-28,5306.92086792,427973487903.8403,19.38,1335.98
2024-08-29,3413.41837394,278167330002.5867,19.8,1333.24
2024-08-30,3770.23688137,302238934124.44385,18.81,1336.56
2024-09-03,3668.78570593,290921007296.4611,19.73,1339.29
2024-09-04,6212.05391712,482344499513.3237,26.04,1333.34
2024-09-05,5394.505416419999,415256915875.1511,25.5,1333.04
2024-09-06,9366.58776208,697231870649.582,26.81,1337.26
2024-09-09,5534.04669144,416861767903.5824,25.61,1341.66
2024-09-10,5317.87337244,410649349990.5542,23.84,1343.21
2024-09-11,5787.96206399,441708114983.46985,24.06,1338.99
2024-09-12,5230.36813115,407607686525.90027,21.73,1335.56
2024-09-13,4809.38211403,379769126309.5762,21.68,1328.21
