Date,Unique Addresses,Number of Transactions,Hash Rate (TH/s),Total Bitcoins in Circulation,Output Volume (BTC),Search Interest
2025-02-28,639073,386183,857436275.8,19830325.0,959889.5216,86
2025-03-03,574113,374224,824457957.5,19831431.25,918110.1341,76
2025-03-04,572405,304773,802472412.0,19831984.38,716490.7653,66
2025-03-05,553079,309176,736515775.4,19832537.5,637121.1965,55
2025-03-06,582749,370349,934385685.2,19833100.0,745382.9592,51
2025-03-07,575233,313588,780486866.4,19833653.13,794877.2781,68
2025-03-10,561710,446224,858547242.2,19834759.38,793936.4407,68
2025-03-11,555242,376740,769347528.7,19835312.5,839354.3378,70
2025-03-12,537118,428828,852972260.1,19835868.75,728907.767,52
2025-03-13,548028,532638,886422152.6,19836425.0,622082.5266,50
2025-03-14,558542,439189,791647457.1,19836981.25,558307.495,48
2025-03-17,511394,380493,780497492.9,19838096.88,565930.7251,42
2025-03-18,520296,369237,791647457.1,19838650.0,573466.2978,43
2025-03-19,523412,441661,847397278.0,19839203.13,557514.7272,43
2025-03-20,538832,337973,791647457.1,19839203.13,594456.2228,39
2025-03-21,542213,321230,808372403.4,19839756.25,503425.7125,34
2025-03-24,542968,483673,870857131.0,19841415.63,550865.5085,40
2025-03-25,537123,505859,842582548.9,19841971.88,606946.8048,38
2025-03-26,551045,515068,859547298.2,19841971.88,584772.3105,39
2025-03-27,546963,437476,836927632.4,19842528.13,557973.8305,35
2025-03-28,555512,397685,870857131.0,19843081.25,688099.5094,35
2025-03-31,536233,318279,836927632.4,19844756.25,710598.7531,41
2025-04-01,577515,356323,763413718.8,19844756.25,572955.3409,49
2025-04-02,561041,399055,972645626.9,19845312.5,604393.7166,51
2025-04-03,576015,392043,859547298.2,19845875.0,669511.8753,64
2025-04-04,568203,429861,1017884958.0,19846431.25,585001.7854,64
2025-04-07,561612,309387,875826848.0,19848096.88,792091.2042,100
2025-04-08,560881,363972,924148329.3,19848096.88,611653.2591,69
2025-04-09,553980,317312,791264255.8,19848678.13,790622.8432,73
2025-04-10,559681,322464,869786662.9,19849234.38,681608.0396,62
2025-04-11,574941,405030,893947403.5,19849790.63,668781.4974,52
2025-04-14,531419,441688,899987588.6,19850909.38,536097.8878,47
2025-04-15,547445,442899,869786662.9,19851462.5,669078.3395,45
2025-04-16,543869,507129,893947403.5,19852018.75,536376.1361,43
2025-04-17,545464,557181,924148329.3,19852571.88,745056.2502,40
2025-04-18,515292,508733,821465181.6,19853125.0,532547.0,38
2025-04-21,493498,444986,771877846.4,19854231.25,589521.354,51
2025-04-22,569473,518267,949532271.4,19854784.38,757426.981,56
2025-04-23,546333,418203,698365670.6,19854784.38,961186.4019,58
2025-04-24,569545,464739,863768066.2,19855337.5,754817.8052,47
2025-04-25,595179,392451,882146110.2,19855890.63,775016.1737,47
2025-04-28,513795,409765,863768066.2,19857000.0,702041.0722,44
2025-04-29,526876,467725,894398139.5,19857553.13,723115.9187,42
2025-04-30,558028,350729,808633934.3,19858106.25,661001.8624,40
2025-05-01,555979,331199,827011978.3,19858659.38,771855.5764,45
2025-05-02,613025,379268,974036330.0,19859215.63,765642.3132,43
2025-05-05,531867,402262,1036227715.0,19860331.25,815056.4046,42
2025-05-06,526919,332218,817139569.5,19860884.38,734327.5574,38
2025-05-07,559340,343011,894116485.5,19861437.5,740016.2331,40
2025-05-08,592201,373813,941486895.3,19861990.63,739797.9218,63
2025-05-09,603053,334543,828982171.9,19862550.0,841081.9864,60
2025-05-12,532368,378285,858588678.1,19863659.38,693884.7083,62
2025-05-13,534997,295785,769769159.7,19864218.75,754872.7891,52
2025-05-14,535430,326818,852667376.9,19864771.88,715424.206,48
2025-05-15,540779,374153,864509979.3,19864771.88,757969.303,43
2025-05-16,539053,363786,805296967.0,19865331.25,635205.4908,49
2025-05-19,499650,585883,852722089.1,19866993.75,648502.7812,50
2025-05-20,536030,569769,895055809.8,19867550.0,705432.5312,50
2025-05-21,567751,422191,870865112.3,19867550.0,838198.9085,67
2025-05-22,612816,467803,907151158.6,19868106.25,1035240.095,91
2025-05-23,571289,444625,937389530.6,19868659.38,824826.2545,67
