date,value
2024-10-07,22
2024-10-08,24
2024-10-09,21
2024-10-10,25
2024-10-11,23
2024-10-12,21
2024-10-13,20
2024-10-14,25
2024-10-15,28
2024-10-16,31
2024-10-17,26
2024-10-18,27
2024-10-19,21
2024-10-20,23
2024-10-21,31
2024-10-22,24
2024-10-23,24
2024-10-24,25
2024-10-25,28
2024-10-26,25
2024-10-27,21
2024-10-28,30
2024-10-29,56
2024-10-30,45
2024-10-31,37
2024-11-01,13
2024-11-02,9
2024-11-03,11
2024-11-04,13
2024-11-05,13
2024-11-06,59
2024-11-07,24
2024-11-08,21
2024-11-09,18
2024-11-10,30
2024-11-11,41
2024-11-12,60
2024-11-13,45
2024-11-14,35
2024-11-15,26
2024-11-16,26
2024-11-17,22
2024-11-18,24
2024-11-19,21
2024-11-20,27
2024-11-21,42
2024-11-22,37
2024-11-23,33
2024-11-24,35
2024-11-25,29
2024-11-26,32
2024-11-27,28
2024-11-28,23
2024-11-29,25
2024-11-30,23
2024-12-01,23
2024-12-02,31
2024-12-03,100
2024-12-04,41
2024-12-05,52
2024-12-06,31
2024-12-07,29
2024-12-08,25
2024-12-09,37
2024-12-10,43
2024-12-11,36
2024-12-12,29
2024-12-13,22
2024-12-14,23
2024-12-15,25
2024-12-16,33
2024-12-17,31
2024-12-18,30
2024-12-19,34
2024-12-20,40
2024-12-21,27
2024-12-22,25
2024-12-23,29
2024-12-24,29
2024-12-25,30
2024-12-26,26
2024-12-27,25
2024-12-28,19
2024-12-29,20
2024-12-30,24
2024-12-31,23
2025-01-01,23
2025-01-02,23
2025-01-03,20
2025-01-04,21
2025-01-05,24
2025-01-06,21
2025-01-07,22
2025-01-08,23
2025-01-09,22
2025-01-10,22
2025-01-11,18
2025-01-12,17
2025-01-13,23
2025-01-14,20
2025-01-15,21
2025-01-16,20
2025-01-17,23
2025-01-18,23
2025-01-19,30
2025-01-20,41
2025-01-21,29
2025-01-22,21
2025-01-23,23
2025-01-24,18
2025-01-25,15
2025-01-26,15
2025-01-27,28
2025-01-28,19
2025-01-29,17
2025-01-30,19
2025-01-31,18
2025-02-01,39
2025-02-02,54
2025-02-03,100
2025-02-04,54
2025-02-05,41
2025-02-06,43
2025-02-07,41
2025-02-08,35
2025-02-09,39
2025-02-10,34
2025-02-11,38
2025-02-12,44
2025-02-13,38
2025-02-14,36
2025-02-15,34
2025-02-16,33
2025-02-17,39
2025-02-18,36
2025-02-19,37
2025-02-20,45
2025-02-21,42
2025-02-22,36
2025-02-23,36
2025-02-24,52
2025-02-25,86
2025-02-26,63
2025-02-27,57
2025-02-28,84
2025-03-01,48
2025-03-02,63
2025-03-03,83
2025-03-04,68
2025-03-05,53
2025-03-06,43
2025-03-07,59
2025-03-08,40
2025-03-09,52
2025-03-10,61
2025-03-11,54
2025-03-12,41
2025-03-13,38
2025-03-14,40
2025-03-15,34
2025-03-16,37
2025-03-17,40
2025-03-18,40
2025-03-19,35
2025-03-20,35
2025-03-21,32
