Date,Hash Rate (TH/s)
2023-08-13,351591250.5061022
2023-08-14,445348917.3077294
2023-08-15,445348917.3077294
2023-08-16,424513880.24070114
2023-08-17,406283222.8070514
2023-08-18,362008769.0396163
2023-08-19,364613148.6729948
2023-08-20,421909500.6073226
2023-08-21,429722639.5074582
2023-08-22,380936887.22817194
2023-08-23,392623891.9211836
2023-08-24,384329020.9651023
2023-08-25,373269193.0236605
2023-08-26,378799106.9943814
2023-08-27,320735010.301812
2023-08-28,326264924.27253294
2023-08-29,436863203.68695074
2023-08-30,348384580.1554164
2023-08-31,398153805.89190453
2023-09-01,417508504.7894277
2023-09-02,420273461.77478814
2023-09-03,436863203.68695074
2023-09-04,411978590.8187068
2023-09-05,342854666.18469554
2023-09-06,364419397.2930779
2023-09-07,393005453.9397736
2023-09-08,358011817.6300677
2023-09-09,406464544.828122
2023-09-10,395697272.1174433
2023-09-11,427999090.2494795
2023-09-12,379546363.0514252
2023-09-13,395697272.1174433
2023-09-14,436074544.7824885
2023-09-15,506061817.40190023
2023-09-16,417231817.5388007
2023-09-17,401080908.4727827
2023-09-18,419923635.7164705
2023-09-19,385677556.7313763
2023-09-20,414558853.7494199
2023-09-21,391843300.11931473
2023-09-22,366288302.28544635
2023-09-23,442953295.78705144
2023-09-24,414558853.7494199
2023-09-25,411719409.5456568
2023-09-26,386164411.7117884
2023-09-27,445792739.99081457
2023-09-28,414558853.7494199
2023-09-29,417398297.95318305
2023-09-30,391843300.11931473
2023-10-01,400361632.7306042
2023-10-02,445792739.99081457
2023-10-03,466751379.41330886
2023-10-04,373280259.4846018
2023-10-05,401774935.7811363
2023-10-06,455914820.74455184
2023-10-07,487258964.67073977
2023-10-08,421721209.1887104
2023-10-09,444516950.225938
2023-10-10,461613756.0038587
2023-10-11,455914820.74455184
2023-10-12,470162158.89281905
2023-10-13,393226532.892176
2023-10-14,416022273.9294035
2023-10-15,475861094.15212595
2023-10-16,416156889.9191482
2023-10-17,491483968.444345
2023-10-18,439908490.27425945
2023-10-19,424739231.98894006
2023-10-20,406536122.04655695
2023-10-21,455077748.5595787
2023-10-22,464179303.53077024
2023-10-23,476314710.1590258
2023-10-24,382265308.79004604
2023-10-25,436874638.6171956
2023-10-26,455077748.5595787
2023-10-27,467213155.18783414
2023-10-28,485416265.1302173
2023-10-29,415637677.0177486
2023-10-30,482540025.495944
2023-10-31,481286782.8761844
2023-11-01,462656326.7648482
2023-11-02,447130946.6720681
2023-11-03,422290338.52361983
2023-11-04,521652771.1174128
2023-11-05,506127391.02463263
2023-11-06,394344654.35661566
2023-11-07,412975110.4679518
2023-11-08,462656326.7648482
2023-11-09,444025870.65351206
2023-11-10,478181706.85762835
2023-11-11,496812162.9689646
2023-11-12,506083624.1310116
2023-11-13,389037994.7160368
2023-11-14,443696225.37862045
2023-11-15,475848125.7683755
2023-11-16,475848125.7683755
2023-11-17,482278505.8463265
2023-11-18,479063315.80735093
2023-11-19,546582306.6258367
2023-11-20,533721546.46993476
2023-11-21,488708885.9242776
2023-11-22,456556985.5345224
2023-11-23,472632935.72940004
2023-11-24,540151926.5478858
2023-11-25,511215216.1971062
2023-11-26,492891191.48160595
2023-11-27,439166010.2949663
2023-11-28,496595411.64123106
2023-11-29,459435210.7701186
2023-11-30,452678810.6117344
2023-12-01,570915813.3834561
2023-12-02,429031410.0573902
2023-12-03,557403013.066688
2023-12-04,523621012.2747674
2023-12-05,466191610.9285027
2023-12-06,459435210.7701186
2023-12-07,388493009.1070856
2023-12-08,456057010.69092655
2023-12-09,530377412.4331516
2023-12-10,469318617.5512489
2023-12-11,528635575.20314026
2023-12-12,481794448.2864064
2023-12-13,498523422.18524003
2023-12-14,488486037.84593976
2023-12-15,545364549.1019738
2023-12-16,508560806.52454
2023-12-17,501869216.9650066
2023-12-18,562093523.0008074
2023-12-19,542018754.3222071
