Date,Hash Rate (TH/s),Unique Addresses
2025-01-22,823589114.5051093,563550.0
2025-01-23,746720797.1512991,559393.0
2025-01-24,768683173.5381019,555324.0
2025-01-31,671743783.1087936,573440.0
2025-02-03,822214390.5251629,594369.0
2025-02-04,703987484.6980155,533329.0
2025-02-05,773848838.1413299,549668.0
2025-02-06,779222788.4062003,556046.0
2025-02-07,929693395.82257,547121.0
2025-02-10,788864727.616627,506614.0
2025-02-11,703735440.4637535,527971.0
2025-02-12,754813012.7554775,524479.0
2025-02-13,896695158.0102665,554664.0
2025-02-14,862643443.1491172,555378.0
2025-02-17,777514155.996244,481661.0
2025-02-18,794540013.4268184,505135.0
2025-02-19,715086012.0841366,504104.0
2025-02-20,737787155.324903,528372.0
2025-02-21,732111869.5147113,539520.0
2025-02-24,714530229.8374169,502390.0
2025-02-25,807968798.3546175,593036.0
2025-02-26,862932662.1882651,551544.0
2025-02-27,824457957.5047117,559897.0
2025-02-28,857436275.8049003,639073.0
2025-03-04,802472411.9712528,572405.0
2025-03-05,736515775.3708757,553079.0
2025-03-06,934385685.1720064,582749.0
2025-03-07,780486866.4377937,575233.0
2025-03-10,858547242.188255,561710.0
2025-03-11,769347528.7141508,555242.0
2025-03-12,852972260.0961236,537118.0
2025-03-13,886422152.6489124,548028.0
2025-03-14,791647457.0826768,558542.0
2025-03-17,780497492.8984137,511394.0
2025-03-18,791647457.0826768,520296.0
2025-03-19,847397278.0039921,523412.0
2025-03-20,791647457.0826768,538832.0
2025-03-21,808372403.3590714,542213.0
2025-03-24,870857131.0489082,542968.0
2025-03-25,842582548.8719956,537123.0
2025-03-26,859547298.1781431,551045.0
2025-03-27,836927632.4366131,546963.0
2025-03-28,870857131.0489082,555512.0
2025-03-31,836927632.4366131,536233.0
2025-04-01,763413718.7766403,577515.0
2025-04-02,972645626.8857932,561041.0
2025-04-03,859547298.1781431,576015.0
2025-04-04,1017884958.3688536,568203.0
2025-04-07,875826848.0097468,561612.0
2025-04-08,924148329.2792498,560881.0
2025-04-09,791264255.7881161,553980.0
2025-04-10,869786662.851059,559681.0
2025-04-11,893947403.4858105,574941.0
2025-04-14,899987588.6444983,531419.0
2025-04-15,869786662.851059,547445.0
2025-04-16,893947403.4858105,543869.0
2025-04-17,924148329.2792498,545464.0
2025-04-18,821465181.5815556,515292.0
2025-04-21,771877846.401681,493498.0
2025-04-22,949532271.367147,569473.0
2025-04-23,698365670.5539016,546333.0
2025-04-24,863768066.2114046,569545.0
2025-04-25,882146110.1733494,595179.0
2025-04-28,863768066.2114046,513795.0
2025-04-29,894398139.4813126,526876.0
2025-04-30,808633934.3255703,558028.0
2025-05-02,974036329.9830736,613025.0
2025-05-07,894116485.453914,559340.0
2025-05-08,941486895.2792872,592201.0
2025-05-09,828982171.944026,603053.0
2025-05-12,858588678.0848842,532368.0
2025-05-13,769769159.6623099,534997.0
2025-05-14,852667376.8567126,535430.0
2025-05-15,864509979.3130558,540779.0
2025-05-16,805296967.0313396,539053.0
2025-05-19,852722089.09428,499650.0
2025-05-20,895055809.829457,536030.0
2025-05-21,870865112.2664988,567751.0
2025-05-22,907151158.610936,612816.0
2025-05-23,937389530.5646338,571289.0
2025-05-26,925294181.7831548,516548.0
2025-05-27,852722089.09428,508812.0
2025-05-28,991818600.08129,546095.0
2025-05-29,961580228.1275918,542154.0
2025-05-30,937389530.5646338,594597.0
2025-06-02,839539043.1681639,516152.0
2025-06-04,795352777.73826,545490.0
2025-06-05,845851366.801007,562558.0
2025-06-09,883725308.5980667,506842.0
2025-06-10,1066782693.950524,558332.0
2025-06-11,890037632.2309102,519320.0
2025-06-12,934223897.6608136,549165.0
2025-06-13,915286926.762284,567837.0
2025-06-16,917456209.4405266,527740.0
2025-06-17,741505703.5204258,518441.0
2025-06-18,879752529.6005048,526045.0
2025-06-19,798061223.2804582,501017.0
2025-06-20,948875942.6405448,543938.0
2025-06-23,672382290.480386,477910.0
2025-06-24,735221756.880422,498971.0
2025-06-25,898604369.5205159,516000.0
2025-06-26,986579622.4805664,540682.0
2025-06-27,722653863.6004148,524379.0
2025-06-30,843035679.3574839,521131.0
2025-07-01,779081248.5096745,542508.0
2025-07-02,889547992.701345,572880.0
2025-07-03,877919914.3653797,571346.0
2025-07-04,924432227.709241,527167.0
2025-07-07,877919914.3653797,493343.0
2025-07-08,825593561.8535358,521277.0
2025-07-09,953502423.549154,542076.0
2025-07-10,994200697.7250328,605456.0
2025-07-11,872105875.197397,626638.0
2025-07-14,910161831.228891,598435.0
2025-07-15,1029424416.010608,560371.0
2025-07-16,822284137.1792051,542511.0
2025-07-17,853669027.9112357,594592.0
2025-07-18,903884853.0824848,580677.0
2025-07-21,941546721.960922,537794.0
2025-07-22,941546721.960922,519024.0
2025-07-23,878776940.4968604,535701.0
2025-07-24,922715787.5217032,528797.0
2025-07-25,1004316503.4249831,577530.0
2025-07-28,919884194.7454996,529385.0
2025-07-29,710531240.0792824,561483.0
2025-07-30,869131963.3112651,554145.0
2025-07-31,976980455.1090132,584264.0
2025-08-01,957948368.3211752,636772.0
2025-08-04,1084828946.9067616,542397.0
2025-08-05,875475992.2405444,569616.0
2025-08-06,913540165.8162204,665517.0
2025-08-07,1021388657.6139684,634516.0
2025-08-08,870485436.2761792,749938.0
2025-08-11,945836287.6602162,552696.0
2025-08-12,881493683.0574806,543783.0
2025-08-13,1003744631.8026783,562007.0
2025-08-14,1042350194.56432,630373.0
2025-08-18,990876110.8821312,506163.0
2025-08-19,862190901.6766596,508055.0
2025-08-20,907230724.8985746,534876.0
2025-08-21,958704808.5807632,536698.0
2025-08-22,939585701.641628,559414.0
2025-08-25,909080588.918406,525919.0
2025-08-26,967107009.4876657,528702.0
2025-08-27,967107009.4876657,526965.0
2025-08-28,1025133430.0569257,547915.0
2025-08-29,1063817710.4364324,597526.0
2025-09-01,1038028190.1834284,521197.0
2025-09-02,1050922950.3099302,544795.0
2025-09-03,883291068.6654017,541497.0
2025-09-04,902633208.8551546,540435.0
2025-09-05,957592801.73997,587857.0
2025-09-08,1082012601.5468135,511832.0
2025-09-09,1129350652.8644862,549610.0
2025-09-10,1149638389.1434891,542027.0
2025-09-11,1014386813.9501374,537753.0
2025-09-12,811509451.1601102,543345.0
2025-09-15,1102300337.8258162,549560.0
2025-09-16,1082012601.5468135,546260.0
2025-09-17,865610081.2374508,517428.0
2025-09-18,1087599379.141188,536964.0
2025-09-19,1188749380.7897809,553195.0
2025-09-20,1082611043.2192645,535837.0
2025-09-22,1061383375.7051616,515742.0
2025-09-23,1018928040.676955,506650.0
2025-09-24,1082611043.2192645,502339.0
2025-09-25,997700373.1628518,542099.0
2025-09-26,934017370.6205422,553168.0
2025-09-29,990624483.991484,521335.0
2025-09-30,1139218156.5902066,561370.0
2025-10-01,1076906913.283782,577245.0
2025-10-02,1019764936.475331,595776.0
2025-10-06,922287405.7828364,550307.0
2025-10-10,989771850.1084098,584389.0
2025-10-13,1139737281.943017,504968.0
2025-10-14,1267207899.0024335,524219.0
2025-10-15,1079751109.2091742,542831.0
2025-10-16,1124278123.987008,556999.0
2025-10-17,1159633832.2093213,591614.0
2025-10-20,1086700886.7873514,507550.0
2025-10-21,1093994181.3295484,538842.0
2025-10-22,1115874064.956139,507518.0
2025-10-23,1035647824.9919724,527286.0
2025-10-24,1305499723.053261,546753.0
2025-10-27,1072114297.7029574,522563.0
2025-10-28,1181513715.835912,504390.0
2025-10-29,929747081.658896,517043.0
2025-10-30,1240553837.666823,540811.0
2025-10-31,1085484607.9584696,572374.0
2025-11-03,1100991530.929305,547702.0
2025-11-04,1015703454.5897112,582796.0
2025-11-05,1069977684.9876348,550413.0
2025-11-06,1085484607.9584696,534781.0
2025-11-07,1100991530.929305,569444.0
2025-11-10,1085484607.9584696,526898.0
2025-11-11,1186279607.2688992,506473.0
2025-11-12,1086613750.3494294,504920.0
2025-11-13,1037279875.2625045,508310.0
2025-11-14,987946000.1755795,511700.0
2025-11-17,938612125.0886546,515090.0
